ID,IDpartita,IDevento,IDgiocatore,Tempo,Secondi,X,Y
4695,15,15,34,3,542.2920153,174,0
4696,15,1,34,3,542.2920153,0,0
4697,15,0,34,3,542.2920153,0,0
4698,15,2,-1,3,558.086855,172,0
4699,15,5,4,3,575.8527369,67.64018692,66.76190476
4700,15,7,2,3,599,0,0
4701,15,19,2,4,0,0,0
4702,15,19,4,4,0,0,0
4703,15,19,8,4,0,0,0
4704,15,19,14,4,0,0,0
4705,15,19,34,4,0,0,0
4706,15,19,34,4,0,0,0
4707,15,18,9,4,0,0,0
4708,15,18,2,4,0,0,0
4709,15,18,4,4,0,0,0
4710,15,18,8,4,0,0,0
4711,15,18,14,4,0,0,0
4712,15,18,9,4,0,0,0
4713,15,15,2,4,9.031269721,169,0
4714,15,5,14,4,26.44312539,38.90186916,11.42857143
4715,15,6,9,4,36.33030894,0,0
4716,15,5,14,4,44.5229759,28.62149533,5.523809524
4717,15,13,4,4,52.4501432,0,0
4718,15,19,14,4,52.4501432,0,0
4719,15,18,13,4,52.4501432,0,0
4720,15,19,2,4,52.4501432,0,0
4721,15,18,21,4,52.4501432,0,0
4722,15,0,-1,4,52.4501432,170,0
4723,15,0,-1,4,52.4501432,170,0
4724,15,5,4,4,77.31749136,59.22897196,77.9047619
4725,15,7,8,4,88.10464731,0,0
4726,15,15,8,4,88.10464731,172,0
4727,15,2,9,4,98.97991116,20.44392523,58.38095238
4728,15,2,-1,4,127.0071553,169,0
4729,15,15,21,4,142.827975,169,0
4730,15,3,8,4,159.0071184,9.345794393,59.14285714
4731,15,15,4,4,195.5579192,172,0
4732,15,9,4,4,202.3399639,0,0
4733,15,2,-1,4,208.9179494,173,0
4735,15,2,13,4,250.4891152,15.88785047,89.14285714
4736,15,13,13,4,250.4891152,0,0
4737,15,2,-1,4,257.5830957,174,0
4738,15,13,13,4,257.5830957,0,0
4739,15,19,4,4,257.5830957,0,0
4740,15,18,14,4,257.5830957,0,0
4741,15,7,21,4,262.6743764,0,0
4742,15,9,8,4,281.9687559,0,0
4743,15,2,14,4,299.125517,35.63084112,67.14285714
4744,15,3,13,4,339.998311,21.37850467,43.61904762
4745,15,7,14,4,357.1139001,0,0
4746,15,5,13,4,363.9709324,67.05607477,73.42857143
4747,15,8,8,4,380.5582568,0,0
4748,15,2,14,4,389.0443644,26.40186916,59.33333333
4749,15,19,13,4,394.8139896,0,0
4750,15,18,2,4,394.8139896,0,0
4751,15,10,9,4,443.0225701,0,0
4752,15,2,8,4,445.4217118,26.28504673,45.80952381
4753,15,4,9,4,466.3386022,56.42523364,17.9047619
4754,15,2,-1,4,486.6262902,172,0
4755,15,5,2,4,502.6393182,24.29906542,5.238095238
4756,15,3,21,4,523.4385549,48.8317757,67.14285714
4757,15,6,8,4,523.4385549,0,0
4758,15,5,2,4,523.4385549,55.8411215,17.9047619
4759,15,6,14,4,523.4385549,0,0
4760,15,3,14,4,526.3882554,17.28971963,78.85714286
4761,15,8,14,4,539.8020915,0,0
4762,15,2,2,4,542.2603956,20.44392523,47.42857143
4763,15,10,14,4,545.7543911,0,0
4764,15,13,14,4,548.6577416,0,0
4765,15,7,8,4,561.9298209,0,0
4766,15,3,8,4,566.3949335,26.28504673,51.04761905
4767,15,15,8,4,588.6534164,168,0
